area_m2,bedrooms,age_years,distance_to_centre_km,price_eur
99.6,4,20,12.0,160586
180.3,5,1,8.43,351097
142.4,5,6,19.97,239707
160.5,1,21,13.35,282444
188.3,5,24,22.71,310761
133.0,3,16,2.35,276902
73.3,5,17,7.94,147033
51.2,5,30,6.02,87331
42.0,4,43,21.5,31537
121.4,1,30,20.14,161243
187.2,2,10,7.41,353662
45.6,5,0,19.68,102370
186.4,3,22,18.04,325232
199.6,4,19,2.56,412374
179.7,4,37,18.3,289498
153.6,5,42,1.47,280768
164.3,1,48,12.73,264827
183.2,3,10,4.86,373105
126.1,5,55,7.16,230914
105.6,4,9,12.58,201853
184.4,4,14,23.33,277229
96.3,2,45,22.89,99300
168.7,3,46,15.06,240499
133.5,5,28,22.72,182396
135.3,1,19,4.55,265597
68.0,2,18,22.74,80341
194.1,4,20,24.66,300701
84.3,4,58,3.38,135738
153.6,4,21,7.14,294236
53.5,5,15,9.64,119910
109.8,1,15,18.24,176462
54.9,4,18,4.71,127222
110.0,2,1,12.2,186229
160.6,1,25,16.25,246606
97.6,3,53,9.82,168075
110.1,3,38,24.04,123628
172.8,1,53,10.1,264965
184.6,2,16,3.56,360436
73.9,2,39,10.6,106253
190.8,4,6,18.84,366637
110.8,3,38,18.81,141248
122.7,2,22,13.58,177870
168.0,4,2,21.96,289659
199.6,5,27,8.15,365507
40.0,4,42,12.76,46385
164.7,3,19,23.9,252090
99.3,1,55,17.63,109805
164.0,4,30,8.59,288398
154.2,4,6,10.61,298220
162.1,3,30,2.23,302746
100.5,4,14,9.96,196209
126.2,1,2,7.88,238245
112.4,3,56,16.73,158446
70.7,2,33,15.26,99905
57.9,4,31,23.26,54077
71.2,3,12,9.5,122665
104.0,2,28,7.5,176838
91.8,4,6,12.65,177915
85.5,4,45,1.15,154155
168.7,3,40,16.7,259608
98.3,1,10,4.06,193825
76.8,2,27,21.54,91242
84.3,3,35,8.65,152016
181.2,1,8,0.67,377157
66.1,5,55,5.56,113426
109.2,5,26,17.23,161794
188.2,3,8,5.91,366895
135.9,3,13,21.65,203034
145.1,1,8,22.58,224627
138.6,4,48,2.32,273808
55.7,2,5,17.18,93716
57.7,1,27,22.18,54725
62.9,1,41,16.63,72236
134.0,3,56,22.98,172190
129.7,5,19,12.5,226949
182.7,2,53,21.38,239011
108.8,4,17,5.46,205688
157.7,4,54,24.65,198676
152.2,4,51,20.33,221762
134.8,2,19,20.16,202307
118.7,5,39,3.27,221753
71.6,1,38,14.84,91337
193.0,5,17,7.75,351326
162.0,2,57,12.04,251558
70.7,3,43,24.0,50332
160.7,5,47,13.27,256220
172.2,3,26,24.56,268878
53.2,4,54,3.26,59521
161.5,3,27,8.49,305440
180.8,1,1,1.49,375195
83.9,2,4,13.66,142340
102.0,4,12,8.25,207827
171.7,5,46,16.66,277051
118.2,3,9,21.49,169788
122.1,4,27,6.78,254303
139.7,1,42,0.59,248956
56.6,1,42,7.27,67290
178.6,2,19,4.91,339340
55.9,1,36,13.28,80901
76.0,5,18,11.99,139485
122.4,5,9,7.64,263751
108.1,5,46,21.14,126218
111.2,2,3,6.97,215446
43.0,4,24,11.79,46817
144.6,3,7,1.84,307669
90.4,3,9,14.18,161275
163.2,1,56,17.78,229921
82.8,4,35,8.32,152321
51.7,3,1,19.64,75707
73.5,1,38,12.81,87734
191.5,3,31,4.38,356963
186.5,4,41,22.17,284272
42.1,4,57,18.43,8203
78.9,1,14,15.02,121939
50.6,1,51,1.02,53090
74.7,2,36,17.53,100281
